aspect_ratio,beauty,random_value
0.6613027712143876,5,-0.2983085738159348
0.28250064056550667,7,-0.911836978034402
3.9511241299448465,6,0.9911315856284042
2.021427731128533,6,0.5076873130820214
0.42201255189871073,6,-0.622321092654323
1.150054787421236,2,0.10085129565359119
2.0705188548270077,5,0.5249961702120378
1.2139554571250855,2,0.13985774334881995
0.29614957901435957,6,-0.8778010297939525
2.9179432418520985,5,0.7724759105287091
2.679027922964176,5,0.710854809088094
0.9093075700658985,1,-0.06857986571511399
0.9285046979578212,1,-0.05350944255002976
0.43036586021447915,5,-0.6081822288179546
0.5415809179000962,5,-0.44237559354842104
3.190626805458239,6,0.8369199361793389
2.8104231619618605,6,0.7453936858104533
0.6712598687588426,5,-0.2875283506769415
1.8848804599851983,5,0.457236514994936
0.9852548995516613,3,-0.01071553808054393
1.18020267583062,2,0.11951731721198078
0.29402417994796404,6,-0.8829966453268563
0.8712585930617034,2,-0.0994135574014321
0.2675026361001032,6,-0.9511874931450928
2.2411279564779156,6,0.5821125107039695
3.023501438755859,6,0.7981101327534474
1.3578736339582935,6,0.22067461308131686
0.5061412519057181,6,-0.49119401606519997
0.8874618625027698,2,-0.08612148597885083
2.8671561185488907,6,0.7598102312086747
3.557064746171687,7,0.9153436173841216
0.3610263033852375,7,-0.7349120715730229
1.981926242394876,6,0.49345163673365855
0.9376090345541614,1,-0.04647081181504675
2.654884056626601,6,0.7043244287101422
1.2282880491306523,5,0.1483244653380209
0.41345096930386965,5,-0.6371059214833328
2.5540490851075206,6,0.6763931259033877
0.8229208911808067,3,-0.14058717318142033
0.355867133429951,6,-0.7452946989281721
3.476380332483361,7,0.8987929642308088
0.36258693125601066,6,-0.7318005840089912
1.5257984142357746,3,0.304782184233904
1.260184774450778,2,0.16681764211645844
2.9385554484537577,6,0.7775535606070119
3.053482123546363,6,0.8052276995110825
1.0708979740573874,1,0.04941051953389053
0.6933625027509817,5,-0.2641591388055353
3.8527221543329393,6,0.9729390736606154
0.36998197867602334,6,-0.7172365470835846
