Component1,Component2,Component3,Component4,Component5,Label
16.202877,2.829505,-2.9970655,9.051593,-13.370151,56
21.052256,-9.770598,-10.822192,-6.6579037,-6.7920394,33
13.1199045,-16.50761,-4.481471,8.223495,3.1178546,30
15.136027,-6.7009106,9.451654,10.160129,4.778116,44
-18.193306,5.143336,15.896671,-17.751877,11.594853,23
-9.749819,-10.393556,-5.330073,-17.950703,5.9696856,46
-14.574524,-12.226092,4.285242,-15.5487,9.909298,35
-0.8435876,1.25932,3.3603976,-9.042037,-6.013314,59
5.4000115,-8.659943,-6.7541223,-4.0797663,8.535456,80
-19.496058,-3.7284062,3.5715036,-9.793729,10.370535,24
-21.46666,14.220649,-8.3609085,9.64546,11.832518,53
17.00307,-13.0342,7.313003,0.6791713,-9.436415,52
16.251211,-9.703396,5.747562,-4.5203357,-7.2651305,57
-9.96585,10.896989,13.200558,3.5246632,0.04055602,61
4.3943954,-18.645802,7.2035537,5.573461,0.28349048,69
-15.675914,-12.49753,-9.408405,-5.649841,0.77873534,29
-5.763259,4.7708774,-2.9832647,-15.441089,2.5681472,52
11.906888,8.589099,-9.726822,2.5801127,7.9215884,42
16.620596,-0.6915786,11.719128,4.5198984,9.541449,63
-7.099368,4.1995373,-15.020215,-3.6546018,6.411904,65
22.238026,-17.491034,9.560235,0.8937231,1.5653175,67
-10.373439,-8.892938,-3.3587527,4.396173,3.2904499,39
20.866774,-13.387284,6.815219,11.475238,-2.031478,33
-22.496128,15.1925535,1.6014796,-0.9748891,-11.060272,44
2.393012,7.6491504,9.1187315,12.40639,3.6612906,33
2.7208846,4.235121,-3.5117533,0.32669184,-13.713119,95
-3.250701,1.9468075,-15.125143,-8.743241,8.720869,40
-1.7944108,-0.80013365,-12.720974,13.451286,4.2703114,38
-6.727587,-2.9956002,12.807371,3.249169,-5.695816,46
18.00218,7.6617346,3.8630126,-4.9541397,-9.814739,51
6.185919,8.737639,3.5842133,-1.1042786,-10.674457,32
-19.159912,9.900908,16.54058,-1.1150643,9.867291,55
-13.265281,11.671662,13.809395,-5.7673764,0.92165625,56
8.974792,-0.31373885,-1.8074719,-11.462419,-2.671611,33
3.2613263,10.205805,6.545436,-6.096283,11.437084,61
15.784461,2.319576,13.767232,-8.631792,8.458359,86
-6.824236,-15.327443,6.6460366,9.65406,-2.7965674,2
10.649675,2.6997817,-12.526784,-8.43365,-11.868304,58
