aspect_ratio,beauty,random_value
1.2977690688766779,5,0.18801684312193223
0.504852343647256,2,-0.4930332983002925
2.8621950348430927,1,0.7585609915553511
0.30834266900829854,1,-0.8486967744577618
0.3060759314654985,1,-0.8540192465411027
0.6068789890446217,5,-0.36025961071042967
1.226448780590239,6,0.14724349239356593
0.9475137088062362,6,-0.038890639134956606
1.1530066139513628,6,0.10270039434716871
2.4345324617783195,2,0.6418223687332532
1.0812004747535153,7,0.056317025235312235
3.5462922617182104,1,0.9131557192119928
0.6223640417683362,4,-0.34208469326259716
0.2986281666628143,1,-0.871788923869699
0.5401411351557144,2,-0.4442958360414333
0.9368685633238423,5,-0.04704071685348454
0.2576457432476188,1,-0.9782696690058601
0.636140509092948,2,-0.32629131768987385
1.5477036056230842,5,0.3150646066585667
1.1045892311670633,6,0.07175498375238454
0.3346724283494726,2,-0.7895891969717257
1.681590882603566,3,0.3749133761519283
0.2717529108517856,1,-0.9398163031403979
0.6030358846953711,3,-0.36484212006949757
1.3689620185834837,3,0.22654121001763228
0.3000075724404625,2,-0.8684645894423915
3.1825160830739105,2,0.8350839024541012
2.657440359864722,3,0.7050186570742558
2.1197534132414106,3,0.5419482243317881
0.2724441137535741,1,-0.9379838867731456
0.28854195355444073,1,-0.8965734975671946
2.7228704524929905,2,0.7225641720590301
2.7228704524929905,2,0.7225641720590301
0.5519445009546415,3,-0.42870244312935113
0.4616587736695791,2,-0.5575505950230926
0.28854195355444073,1,-0.8965734975671946
1.5611419885953564,1,0.3213008794607741
2.22483669886818,2,0.5768497236846801
1.8533120071036169,2,0.44505289055008856
1.2431809468590576,5,0.1570181490548579
0.3803333983937142,2,-0.6973317311525207
0.6404229368433144,3,-0.3214515578845545
0.8135216022507143,3,-0.148873719580096
1.5727288778437059,3,0.3266349932587984
0.38800103217296217,2,-0.6829338022827978
0.6892771259744515,3,-0.2684219776870247
0.4489126116590817,2,-0.5777467336426017
0.34422721601288675,1,-0.7692834638118844
1.804635232434837,3,0.42585362865634613
1.4179827193479564,2,0.25191997543437084
